id,filename,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,centroid_1,bandwidth_1,rolloff_1,zcr_1
1793,1793_Steel Veins.mp3,[123.046875],-117.416275,65.40076,18.214228,18.526781,15.937888,12.221924,7.8458962,10.12067,4.810461,10.459632,4.1673164,6.501129,1.6562369,0.05359767,-0.008087871,-0.0052733202,0.00012478216,0.0014243056,0.0023367081,-0.0011079797,-0.0018759741,-0.0024882613,-0.00039435324,0.0001163556,-0.00059590524,-0.0012028938,0.28036335,0.2271696,0.27911907,0.3938431,0.8648717,0.61997604,0.5721836,0.4583324,0.31577748,0.31247795,0.27090245,0.3314399,2911.1875108420854,2942.4965155202785,6563.136528307592,0.09320041858562833
0393,0393_Dawnbreak.mp3,[99.38401442],-177.21634,88.00759,22.231848,7.7611885,15.546479,-0.10523581,8.592495,-6.7009583,-0.11902614,6.783137,-10.916058,3.4443128,-5.9503927,0.15606497,0.048656747,-0.043492064,-0.015060828,-0.017141977,-0.014052602,-0.0019844607,0.0009961841,-0.009059713,-0.004061471,0.0012191223,-0.0045153783,0.0008330162,0.28819567,0.1056911,0.38011658,0.11170008,0.34023187,0.10665144,0.22026101,0.3300912,0.10235306,0.23189305,0.08603057,0.24156812,2433.137962578064,2772.2657453500137,5583.627702423729,0.09030398712455577
1052,1052_Leave Me Alone.mp3,[129.19921875],-104.637054,64.78568,-9.476448,23.15852,12.048421,0.57549375,5.556623,2.7866979,2.8242054,5.9378247,-4.3524313,2.8117924,-6.6204753,0.12524952,0.037746347,-0.0160256,0.011301968,-0.00401761,0.0011710292,-0.0014375974,-0.0027943966,-0.0024863924,-0.0043388098,-0.00061580987,-0.0019497459,-0.002208463,0.18368995,0.19281536,0.20830263,0.29311332,0.6121316,0.26894,0.35641333,0.27234724,0.4068203,0.51378226,0.26017883,0.4873126,2900.961914909791,2686.891475320173,5920.6563550127585,0.14627653958812536
0184,0184_Breaking Free(7).mp3,[161.49902344],-188.9468,80.52383,26.972034,7.696284,9.586734,-4.793055,5.7650495,-5.7853756,-2.80381,5.2567253,-5.871013,4.157558,-2.3550444,0.105011925,0.05465924,-0.01688658,-0.002335827,0.0021457851,0.0018704027,0.003808587,-0.001271182,-0.0065982956,-0.0013654445,-1.5247887e-05,-0.0065082023,-0.0018577672,0.13764118,0.22827451,0.2801718,0.12915292,0.33800763,0.1679925,0.3845306,0.416177,0.18243259,0.22151631,0.18668361,0.42009187,2592.3187260632903,2702.727877503365,5749.686009622443,0.09616243171668315
1795,1795_Still Here.mp3,[78.30255682],-140.64761,90.76387,14.566253,5.039635,5.7666836,12.410198,-6.4672403,6.4237337,-0.58727384,5.176148,2.3599398,5.5967593,0.29054198,0.034348603,-0.0010769543,-0.014636952,0.002591556,-0.002661724,-0.0010105564,-9.9819576e-05,0.00083178876,0.0006582054,-0.00022655273,-4.96498e-05,-0.0002620492,-0.0001709609,0.17601271,0.19568886,0.1836829,0.16372788,0.41726822,0.11792197,0.23224437,0.12904038,0.18919729,0.18466757,0.19317724,0.6659387,2492.6116505691584,2619.58559522491,5333.097764219282,0.08504284696952101
0096,0096_Beacon.mp3,[143.5546875],-108.65772,68.42081,2.86404,28.341866,13.645791,9.451657,6.3787613,8.882338,3.371205,11.243522,-0.13538185,7.944146,-2.021751,0.020747386,-0.004926039,0.0055340026,0.0022992864,0.0029696664,0.0026761226,0.0036815365,0.003554454,0.0020230375,0.00209278,0.0014881925,0.0009333841,0.0019391088,0.20742814,0.27190182,0.3136339,0.21891941,0.33944735,0.23786527,0.6033166,0.33914638,0.23085187,0.25490144,0.22329648,0.48338076,2662.9050942655363,2737.071069017127,5900.438110507402,0.09469534664084749
0232,0232_Café Nights.mp3,[83.35433468],-266.0701,114.9544,66.16632,31.593145,21.158138,8.268166,9.479521,-1.7824426,-1.3014024,2.701897,-3.8398604,-4.333449,-7.48965,0.15617102,0.03409281,-0.06139036,-0.024102746,-0.036515232,-0.016729182,-0.014691139,-0.007456739,-0.008666563,-0.005727045,-0.0046561724,-0.002355023,0.002324223,0.38567647,0.048388768,0.19560717,0.23885861,0.05202449,0.1596188,0.056636255,0.3083549,0.16430256,0.06067533,0.27746084,0.07487942,1451.9175500837027,1984.6440508698388,3247.628166691147,0.04726017290854637
0178,0178_Breaking Free(1).mp3,[95.703125],-182.64723,103.40648,37.150425,16.116276,13.508534,3.106559,2.2867236,1.363961,-6.1877313,8.997013,-6.2885437,-1.1961491,-10.249907,0.022238072,-0.0047492096,-0.001961156,-0.0018659905,-0.0010576887,-0.00023536236,0.0045779063,-0.0060367924,-0.0041108797,0.0009502472,-0.0042284625,-0.00068870746,-0.0037312615,0.24312934,0.10091648,0.47684652,0.0876899,0.26466745,0.07240716,0.20004717,0.38727582,0.10706179,0.3450634,0.09537956,0.25440332,1851.5289092441349,2390.5388949341823,4277.096442535584,0.058885522159210946
0785,0785_Flow(3).mp3,[107.66601562],-139.95247,106.31882,3.2613904,15.648546,2.535233,-2.9670954,-2.8168197,-3.5316334,-9.382169,6.9919276,-4.651371,0.08608719,-7.664939,0.16503808,0.0325005,-0.041109413,-0.012714294,-0.014360459,-0.012074824,-0.002253404,-0.0007311146,-0.003985113,-0.0051209386,-0.007483253,-0.0068212342,-0.00986435,0.17621392,0.3112487,0.12531254,0.212758,0.4635412,0.11731329,0.2805107,0.09834312,0.2364195,0.21547088,0.15155707,0.5467422,1957.7298221810222,2312.962018905102,4031.115983728868,0.08378209653928174
1349,1349_Power Move.mp3,[117.45383523],-143.0825,74.800285,20.192535,12.642119,9.536428,1.863409,7.415075,-3.4180446,-0.6951398,8.771384,-11.499849,2.963708,-2.411687,0.04591189,0.0015098882,-0.011925521,0.00058443367,-0.007930247,-0.0067785755,-0.0035566217,-0.006236503,-0.0014486575,0.00054021255,-0.0022364215,0.0017320407,0.00045428323,0.47038192,0.17181167,0.24753897,0.13218719,0.28909293,0.32848167,0.25962028,0.46331626,0.3176808,0.4775785,0.27816102,0.3259262,2615.4238741665176,2861.5871897925135,6123.454503625112,0.0951575101745269
